YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2025,1,JAN,EDFQ,Allendorf,Germany,8,102.176282836011,25.73419275079862,1760,580,5950,2,3,25.79107509999999,29.13749999999999,7,13.997442605437659,0,120,0,23000,5,7,15.42932999999999,0,Allendorf (EDFQ)
2025,1,JAN,EDFV,Worms,Germany,5,70.62413695428957,70.62413695428957,2340,2340,3906.5573770491806,0,0,9.763425,9.763425,8,0,0,0,0,7000,8,8,0,0,Worms (EDFV)
2025,1,JAN,EDFZ,Mainz,Germany,17,265.05499391866607,265.05499391866607,7940,7940,3001.1748633879783,1,1,59.40423850000001,59.40423850000001,6,5.864810059429759,5.864810059429759,100,100,15500,5,5,0,0,Mainz (EDFZ)
2025,1,JAN,EDGE,Eisenach Kindel,Germany,13,114.41723811436101,8.47016549307415,1380,200,19000,8,11,-7.9086089999999905,0.5937749999999999,7,3.22141779028834,0,40,0,24000,6,7,3.6056,0,Eisenach Kindel (EDGE)
2025,1,JAN,EDGS,Siegerland,Germany,44,1283.2005705486222,494.83218937655505,21900,10180,6022.916666666668,5,10,849.916793,551.3576515000001,42,414.96950397973706,308.796220853643,8520,6980,14497.5806451613,32,37,184.1627115,56.78799049999998,Siegerland (EDGS)
2025,1,JAN,EDHE,Uetersen,Germany,4,14.45081294955601,14.45081294955601,600,600,3395.5555555555547,2,2,2.539425,2.539425,,,,,,,,,,,Uetersen (EDHE)
2025,1,JAN,EDHF,Itzehoe Hungriger Wolf,Germany,1,0,0,0,0,9000,1,1,0,0,,,,,,,,,,,Itzehoe Hungriger Wolf (EDHF)
2025,1,JAN,EDHI,Hamburg Finkenwerder,Germany,101,1215.067798540341,893.2002511532701,20900,17080,2973.333333333333,2,4,17079.233547,14504.606643000001,112,3728.046833714518,25.629007331678068,30400,440,30000,69,100,10529.074118,399.686845,Hamburg Finkenwerder (EDHI)
2025,1,JAN,EDHK,Kiel Holtenau,Germany,48,316.86797320550403,264.62083967621703,8480,7860,3189.7540983606555,17,19,60.691948,30.990322,49,255.282506886044,232.701482872543,5435,5155,16000,39,41,-7.83545,-24.855069999999998,Kiel Holtenau (EDHK)
2025,1,JAN,EDHL,Lubeck Blankensee,Germany,87,3232.7839079030605,3206.3171727828544,86786,86086,2991.803278688525,7,7,549.400519,548.4565690000001,61,432.580996907119,324.598349486814,9249,8169,8000,45,48,182.746304,156.7192495,Lubeck Blankensee (EDHL)
